app_id,default_probability,repayment_probability,risk_score,recommendation,confidence,risk_category,top_risk_factors,actual_outcome,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,title,dti,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,issue_d,state
APP-169402,0.4520312146561246,0.5479687853438754,45.20312146561246,APPROVE_WITH_CONDITIONS,Low,Medium,loan sub-grade (lowers risk); interest rate (raises risk); home ownership (raises risk),Charged Off,17000.0, 36 months,11.53,560.84,B,B5,1 year,RENT,66000.0,Source Verified,credit_card,Credit card refinancing,13.75,9.0,0.0,13525.0,76.8,17.0,w,INDIVIDUAL,0.0,0.0,Aug-2015,AE
APP-063931,0.6624771188685876,0.3375228811314124,66.24771188685877,REVIEW_MANUAL,Medium,High,loan sub-grade (raises risk); interest rate (lowers risk); high-risk grade (E/F/G) (lowers risk),Charged Off,6850.0, 36 months,24.5,270.55,F,F3,5 years,MORTGAGE,24000.0,Not Verified,debt_consolidation,Debt consolidation,11.7,4.0,0.0,4637.0,92.7,22.0,f,INDIVIDUAL,1.0,0.0,Apr-2015,MD
APP-070301,0.5034686500102741,0.4965313499897259,50.34686500102741,REVIEW_MANUAL,Low,High,debt-to-income ratio (lowers risk); total credit lines (raises risk); open credit lines (lowers risk),Fully Paid,10500.0, 36 months,13.98,358.77,C,C3,6 years,RENT,31000.0,Not Verified,debt_consolidation,Debt consolidation,10.96,4.0,0.0,3891.0,52.3,8.0,w,INDIVIDUAL,0.0,0.0,Jul-2014,AP
APP-195656,0.38324307625744036,0.6167569237425596,38.324307625744034,APPROVE_WITH_CONDITIONS,Medium,Medium,loan sub-grade (lowers risk); open credit lines (raises risk); total credit lines (lowers risk),Fully Paid,7200.0, 36 months,11.67,238.01,B,B4,3 years,MORTGAGE,26000.0,Source Verified,debt_consolidation,Debt consolidation,21.7,28.0,0.0,16799.0,25.5,45.0,f,INDIVIDUAL,1.0,0.0,Oct-2014,NV
APP-101482,0.4516512719529911,0.548348728047009,45.16512719529911,APPROVE_WITH_CONDITIONS,Low,Medium,loan sub-grade (raises risk); has bankruptcy record (lowers risk); interest rate (lowers risk),Fully Paid,2400.0, 36 months,15.61,83.92,C,C4,6 years,MORTGAGE,42000.0,Verified,other,Other,21.2,5.0,1.0,1420.0,30.9,20.0,f,INDIVIDUAL,5.0,1.0,Feb-2014,ID
APP-339209,0.35341287421558454,0.6465871257844155,35.341287421558455,APPROVE_WITH_CONDITIONS,Medium,Medium,debt-to-income ratio (lowers risk); revolving utilization (raises risk); monthly installment (lowers risk),Fully Paid,2000.0, 36 months,14.98,69.32,C,C3,3 years,RENT,49000.0,Verified,debt_consolidation,Debt consolidation,3.43,4.0,0.0,2067.0,103.3,26.0,w,INDIVIDUAL,4.0,0.0,Dec-2013,RI
APP-304815,0.44100319802557686,0.5589968019744231,44.100319802557685,APPROVE_WITH_CONDITIONS,Low,Medium,60-month term (raises risk); loan sub-grade (lowers risk); debt-to-income ratio (lowers risk),Charged Off,20000.0, 60 months,11.53,440.16,B,B5,5 years,MORTGAGE,100000.0,Source Verified,debt_consolidation,Debt consolidation,8.69,9.0,1.0,6188.0,19.7,23.0,f,INDIVIDUAL,2.0,0.0,Apr-2015,DE
APP-130339,0.5563735710256703,0.4436264289743297,55.63735710256703,REVIEW_MANUAL,Low,High,60-month term (raises risk); loan sub-grade (raises risk); home ownership (lowers risk),Fully Paid,16800.0, 60 months,13.33,385.1,C,C3,10+ years,MORTGAGE,50440.0,Source Verified,debt_consolidation,Debt consolidation,17.13,10.0,0.0,6831.0,59.9,32.0,f,INDIVIDUAL,5.0,0.0,Jul-2015,OK
APP-179047,0.5714137918312365,0.42858620816876347,57.141379183123654,REVIEW_MANUAL,Low,High,revolving utilization (raises risk); has bankruptcy record (lowers risk); has public record (raises risk),Charged Off,10000.0, 36 months,15.22,347.74,C,C3,4 years,RENT,46000.0,Verified,debt_consolidation,Personal Loan,21.52,7.0,1.0,12515.0,97.8,12.0,f,INDIVIDUAL,0.0,1.0,Jul-2013,WA
APP-259677,0.34327588836789513,0.6567241116321049,34.327588836789516,APPROVE_WITH_CONDITIONS,Medium,Medium,loan sub-grade (lowers risk); interest rate (raises risk); 60-month term (lowers risk),Fully Paid,7000.0, 36 months,10.15,226.37,B,B2,3 years,OWN,40000.0,Not Verified,credit_card,Credit card refinancing,17.7,11.0,0.0,12672.0,32.5,17.0,w,INDIVIDUAL,1.0,0.0,Oct-2014,CO
APP-164035,0.6209029251651833,0.3790970748348167,62.09029251651833,REVIEW_MANUAL,Medium,High,60-month term (raises risk); revolving utilization (lowers risk); has public record (raises risk),Fully Paid,24000.0, 60 months,13.67,554.35,C,C3,7 years,MORTGAGE,55800.0,Source Verified,debt_consolidation,Debt consolidation,15.7,7.0,1.0,1168.0,19.8,11.0,w,INDIVIDUAL,1.0,0.0,May-2016,WA
